key,dateCreated,latitude,longitude,altitude,deviceId,entryId,lastEdited,timeUploaded,projectName,photo,info,
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDwjNiuCAw,2014-09-19 10:51:43.572000,59.6743077273,10.6044699904,3.99176025391,FFFFFFFFC5C93379D0FA4592A21BB0B918D16CB9,B4049E4B-8CA8-44E1-A391-6B14C338FA0F-10318-00000B1110E690F1,2014-09-19 10:52:14.925000,2014-09-19 10:53:20.483590,Oscarsborg,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDwjNiuCAw","Iphone Post 21 ",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgICI4L-wCAw,2014-09-19 10:34:14.217000,59.67787328,10.60591515,51.0,52c382d2116756d3,52c382d2116756d3_1411122854217,2014-09-19 10:34:14.217000,2014-09-19 10:37:27.853290,Oscarsborg,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgICI4L-wCAw","s4 15",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDwvc66CAw,2014-09-19 10:34:58.079000,59.6611949841,10.628236467,41.3819580078,FFFFFFFFC5C93379D0FA4592A21BB0B918D16CB9,F0F32064-7893-49A1-8729-98241C659C7B-10288-00000B0BDEA283B2,2014-09-19 10:35:20.342000,2014-09-19 10:50:35.297780,Oscarsborg,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDwvc66CAw","Post 16",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDw8vDBCAw,2014-09-19 11:04:16.424000,59.67477673,10.6075901,54.0,52c382d2116756d3,52c382d2116756d3_1411124656424,2014-09-19 11:04:16.424000,2014-09-19 11:06:18.278840,Oscarsborg,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDw8vDBCAw","s4 24",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDw1pjGCAw,2014-09-19 10:59:43.941000,59.6744842921,10.6084197108,22.9288330078,FFFFFFFFC5C93379D0FA4592A21BB0B918D16CB9,D0891823-AF0B-4A19-8CB9-FD923B7334FF-10329-00000B1278806949,2014-09-19 11:00:15.578000,2014-09-19 11:06:26.995290,Oscarsborg,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDw1pjGCAw","Iphone post 23",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDwu9TICAw,2014-09-19 09:32:22.735000,59.677876616,10.6058693491,16.9256591797,FFFFFFFFC5C93379D0FA4592A21BB0B918D16CB9,E0B8488F-E9DA-4086-87BC-9061D8C367F0-10256-00000B07AC82548C,2014-09-19 09:33:14.381000,2014-09-19 09:33:25.858760,Oscarsborg,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDwu9TICAw","Iphone post 15",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgICIkMTJCAw,2014-09-19 10:45:25.535000,59.67827105,10.60855404,62.0,52c382d2116756d3,52c382d2116756d3_1411123525535,2014-09-19 10:45:25.535000,2014-09-19 10:46:16.804490,Oscarsborg,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgICIkMTJCAw","s4 11",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDwiLzMCAw,2014-09-19 11:30:22.768000,59.6740146122,10.6092216913,-5.00128173828,FFFFFFFFC5C93379D0FA4592A21BB0B918D16CB9,9F3797A2-F353-4C20-AEF7-BBC702A46C9A-10378-00000B1A0509F6BD,2014-09-19 11:31:11.227000,2014-09-19 11:31:16.876880,Oscarsborg,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDwiLzMCAw","Iphone post 30",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDwt5jNCAw,2014-09-19 10:36:44.735000,59.6731754998,10.6072735693,20.1054077148,FFFFFFFFC5C93379D0FA4592A21BB0B918D16CB9,A2597FC6-E6E5-48FF-8D3F-BB9C151851BA-10288-00000B0C773426E6,2014-09-19 10:37:28.440000,2014-09-19 10:50:34.790680,Oscarsborg,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDwt5jNCAw","Iphone post 17",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDwkbDOCAw,2014-09-19 11:14:56.188000,59.6754267114,10.6055068318,18.6361694336,FFFFFFFFC5C93379D0FA4592A21BB0B918D16CB9,ABA3A380-F47F-47BF-BC76-027D7E30D45B-10356-00000B16D2A5AFD8,2014-09-19 11:15:26.178000,2014-09-19 11:23:23.593810,Oscarsborg,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDwkbDOCAw","Iphone post 28",
